DOB,siblings,countries
1943-05-11,3,"{Romania, Turks and Caicos Islands, Eritrea, Korea, Sri Lanka, Chile, Wallis and Futuna, Azerbaijan, Nicaragua, Armenia}"
1953-11-11,5,"{French Southern Territories, Liechtenstein, Saint Pierre and Miquelon, Djibouti, Denmark, Niue, Norway, Uganda, Wallis and Futuna, Bulgaria}"
1978-03-13,4,{Mayotte}
1921-11-08,6,"{Saint Lucia, Bouvet Island (Bouvetoya)}"
1934-03-08,4,"{Macedonia, Zimbabwe, Dominican Republic, Seychelles, Swaziland, Haiti, Tanzania, Suriname, Christmas Island}"
1970-11-05,1,"{Bahamas, Benin, Morocco, Guinea-Bissau, Northern Mariana Islands, Antigua and Barbuda, Christmas Island, Guinea-Bissau, Djibouti, Albania}"
1974-10-01,8,"{Niue, Turkey, Bosnia and Herzegovina, Saint Kitts and Nevis, Israel, Tokelau, Japan, Tunisia}"
1954-11-13,6,"{New Zealand, Aruba, Faroe Islands, Grenada}"
1981-01-18,6,"{Colombia, Turks and Caicos Islands, Venezuela, Nigeria, Guadeloupe, Poland, Qatar, Denmark, Switzerland}"
1991-09-25,10,"{Lao People's Democratic Republic, Burkina Faso}"
1951-11-02,10,"{Germany, Afghanistan}"
1946-03-30,6,"{Macedonia, United States Virgin Islands, Andorra, Paraguay, Bosnia and Herzegovina, Papua New Guinea}"
1974-03-05,5,"{Korea, Reunion, Dominican Republic}"
1979-04-14,1,"{American Samoa, Tonga, French Guiana}"
1992-07-18,10,"{Faroe Islands, Yemen, Montserrat, Somalia, Mayotte, Mozambique}"
1931-08-14,10,"{Palestinian Territory, Malaysia, Afghanistan, Taiwan, Belarus, Israel, Equatorial Guinea, Philippines, Azerbaijan, Bangladesh}"
1967-04-15,6,"{Madagascar, Yemen, Greece}"
1938-09-01,8,"{Russian Federation, Tonga, Nepal, Djibouti, Cyprus, Antigua and Barbuda, Cocos (Keeling) Islands, Mayotte}"
1938-03-27,5,"{San Marino, Cote d'Ivoire, Mexico, Equatorial Guinea, Mauritania}"
1960-09-14,8,"{Falkland Islands (Malvinas), Mexico, Marshall Islands, Singapore, British Virgin Islands}"
1947-07-17,0,"{Sri Lanka, Burkina Faso, United States of America, Australia, Israel, Papua New Guinea, Romania}"
1932-07-02,7,"{Lebanon, Saudi Arabia, Denmark, Cuba, Cook Islands, Malawi}"
1964-07-25,1,"{Tunisia, Hong Kong, Ecuador, Montserrat, Tokelau, Cook Islands, Bulgaria, Greenland, Djibouti}"
1928-06-20,5,"{Iran, India, Turks and Caicos Islands, Nigeria, Afghanistan, Philippines, Nepal}"
1987-08-16,8,"{Hong Kong, Antigua and Barbuda, Nauru, Fiji, Tanzania}"
1996-02-07,0,"{Philippines, French Guiana, Saint Vincent and the Grenadines, Cameroon, Kazakhstan}"
1959-03-03,3,"{United States Virgin Islands, Albania, Guinea, Antarctica (the territory South of 60 deg S), New Caledonia, Belarus, Switzerland, Zimbabwe}"
1952-09-06,2,"{Turkmenistan, Peru, Georgia}"
1958-08-31,5,{Madagascar}
1997-04-11,10,"{Germany, Liechtenstein, United Kingdom, Nauru, Cameroon}"
1921-08-09,3,"{Cambodia, Cape Verde, Saint Pierre and Miquelon, Equatorial Guinea, Kyrgyz Republic, Congo}"
1999-10-23,4,"{Greenland, Slovakia (Slovak Republic), Korea, Kenya, Latvia, Ukraine, Mexico}"
1940-03-05,8,"{Puerto Rico, Austria, Libyan Arab Jamahiriya, Isle of Man, Sweden, Solomon Islands}"
1944-01-30,3,"{Italy, Estonia}"
1927-08-08,4,{Bulgaria}
1942-05-22,0,"{Guinea-Bissau, Switzerland}"
1966-09-01,1,"{Kiribati, Saint Vincent and the Grenadines, Togo}"
1950-05-13,7,"{Hong Kong, Mongolia, Korea, Lithuania, Togo, Syrian Arab Republic, Morocco, Indonesia, Gambia, Macao}"
1954-11-05,8,"{Tokelau, Guinea-Bissau, Saint Vincent and the Grenadines, Guam, Swaziland}"
1946-03-19,10,"{Malawi, Poland, Somalia, Singapore, Bahrain, Azerbaijan, Russian Federation}"
1952-06-07,1,"{India, Monaco, Guatemala, Gabon, Italy, Bouvet Island (Bouvetoya), Andorra}"
1993-02-05,2,"{Italy, Korea, Sudan, Puerto Rico, Liechtenstein}"
1939-03-28,0,"{Albania, France, Tanzania}"
1941-02-26,9,"{Palestinian Territory, Niue, United States Minor Outlying Islands, Qatar, Niger, Jordan, Thailand}"
1946-06-05,3,"{Guam, Belarus, Ethiopia, Gibraltar, Iceland, Macao, Andorra, Nicaragua, Czech Republic}"
1999-02-22,2,"{Albania, Mexico, Libyan Arab Jamahiriya, Zambia, Isle of Man, Moldova, Kazakhstan, Micronesia, Martinique}"
1995-11-09,7,"{Lithuania, China, Burundi, Kuwait, Ethiopia, French Southern Territories}"
1942-06-23,8,"{Vietnam, Bolivia, Hungary, Switzerland, Guinea, Myanmar, Montserrat, Mauritius, Qatar}"
1991-09-29,6,"{Chile, Australia, Suriname, Cayman Islands, Kazakhstan, Panama, Saint Vincent and the Grenadines, Svalbard & Jan Mayen Islands}"
1970-07-10,8,"{Saint Lucia, Myanmar, Greenland, Georgia}"
1955-04-28,6,"{Maldives, Timor-Leste, Uzbekistan, Philippines}"
1992-03-12,8,"{Faroe Islands, Saint Barthelemy, Greenland, Mayotte, Chile, Burkina Faso, Guernsey, Sri Lanka}"
1941-03-24,10,"{Netherlands, Bhutan, Lithuania, Iceland, Belize, Equatorial Guinea, Djibouti}"
1996-07-02,5,"{Malaysia, Peru, New Caledonia, Myanmar, Bahrain, Peru, Luxembourg, Algeria, Andorra, Sierra Leone}"
1954-11-27,3,"{Belarus, Guam, Angola, Italy}"
1998-08-15,6,"{Uzbekistan, Iraq}"
1956-04-28,5,"{Vanuatu, Dominican Republic, Tajikistan, Saint Vincent and the Grenadines, Gibraltar, Syrian Arab Republic, Pakistan, Korea, Thailand}"
1987-01-11,3,"{Northern Mariana Islands, Guadeloupe, Antigua and Barbuda, Slovenia, Greece, Armenia}"
1937-10-13,1,"{Pitcairn Islands, Mali, Algeria, Greenland}"
1968-07-20,10,"{Belize, Albania, Benin, Grenada, Estonia, Romania}"
1951-04-15,7,"{Mayotte, French Polynesia, Reunion, Senegal, Japan}"
1962-08-24,8,"{Azerbaijan, Saudi Arabia, Egypt, Burundi, Antigua and Barbuda, Sierra Leone, Bolivia, Saint Barthelemy, Central African Republic}"
1971-12-07,10,"{Hungary, Zimbabwe, Tunisia, Benin, Botswana, Western Sahara, Venezuela, Zambia}"
1953-05-11,0,"{Saudi Arabia, Burundi, Tonga}"
1925-05-06,5,"{Palestinian Territory, Tuvalu, Iran, Chad}"
1927-01-10,6,"{Cote d'Ivoire, Brunei Darussalam, Belize, Gabon, Fiji, Bulgaria, Iceland}"
1969-07-29,1,"{Oman, Saudi Arabia, Saint Pierre and Miquelon, Venezuela, South Africa}"
1980-06-15,0,"{Sweden, Cocos (Keeling) Islands, Reunion}"
1986-11-27,5,{Mexico}
1999-05-30,3,"{South Georgia and the South Sandwich Islands, Lao People's Democratic Republic, Yemen, Gibraltar, Vietnam, Kuwait, Trinidad and Tobago}"
1951-11-13,5,"{Croatia, Central African Republic}"
1920-03-23,1,"{Suriname, Holy See (Vatican City State), Mozambique, Isle of Man, Pakistan, Timor-Leste, Senegal, Turkmenistan}"
1995-10-24,6,"{Tanzania, Sri Lanka, French Polynesia}"
1964-02-14,9,"{Lao People's Democratic Republic, Honduras, Western Sahara, Myanmar, Latvia, Chad, Macedonia, San Marino, Netherlands, Spain}"
1973-11-19,2,"{Finland, Kenya, Timor-Leste, Barbados, Cyprus, Antigua and Barbuda, Panama, Slovenia, Azerbaijan}"
1994-04-21,6,"{Argentina, Dominica, Brunei Darussalam, Albania, Guernsey, Latvia, Falkland Islands (Malvinas), Kenya, Tokelau}"
1956-03-23,6,"{Qatar, Moldova, Austria, Saudi Arabia, Botswana}"
1928-08-04,3,"{Luxembourg, Dominican Republic, Guernsey, Norfolk Island, Isle of Man, Somalia, Colombia, Puerto Rico, Macedonia}"
1941-07-06,4,"{Lithuania, Dominica, Greenland, Seychelles, Antarctica (the territory South of 60 deg S), Iran}"
1968-07-29,8,"{British Indian Ocean Territory (Chagos Archipelago), Spain, Morocco}"
1961-07-19,9,"{Gibraltar, Indonesia}"
1943-12-05,9,"{Dominica, Israel, Angola, Netherlands, Botswana, Brazil, Malawi, Serbia, Georgia}"
1978-01-31,3,"{Madagascar, Turkey, Saint Lucia, Tokelau, Tajikistan, Niger, Nauru}"
1975-05-01,4,"{Guernsey, Russian Federation, Bosnia and Herzegovina, Russian Federation, Solomon Islands, Bermuda, Saint Vincent and the Grenadines}"
1939-11-17,0,"{Montenegro, Slovenia, Bahrain}"
1965-10-09,9,"{Cocos (Keeling) Islands, Afghanistan, British Indian Ocean Territory (Chagos Archipelago), China}"
1926-02-06,6,"{Saint Pierre and Miquelon, Mozambique, Spain, Estonia, Singapore, Sao Tome and Principe, Turks and Caicos Islands}"
1982-02-01,3,"{Cape Verde, Guinea-Bissau, Brazil, Slovakia (Slovak Republic)}"
1931-04-17,8,"{Costa Rica, Madagascar, Tuvalu, Belarus, Zimbabwe}"
1968-10-20,10,"{Jersey, Western Sahara, Saint Pierre and Miquelon, United States Virgin Islands}"
1971-11-01,6,"{South Africa, Saint Vincent and the Grenadines, Hungary, United Arab Emirates, Serbia, Uruguay, United States Virgin Islands, San Marino, Liberia, Uganda}"
1964-07-23,8,"{Greece, Iceland}"
1936-01-02,0,"{Switzerland, Papua New Guinea, Bouvet Island (Bouvetoya), Vietnam, Guadeloupe}"
1933-08-09,3,"{United Kingdom, Liberia, Finland}"
1952-11-20,3,"{Greece, Croatia, Guinea-Bissau, Christmas Island, Kenya}"
1930-05-23,1,"{Guernsey, Netherlands, Angola, Indonesia, Dominica}"
1946-04-11,8,"{Yemen, Timor-Leste}"
1955-08-17,2,"{Lithuania, French Guiana, Niger, Saint Pierre and Miquelon, Brazil}"
1939-12-16,6,"{Italy, Armenia, Hong Kong, Svalbard & Jan Mayen Islands}"
1959-12-13,2,"{South Georgia and the South Sandwich Islands, Myanmar, French Polynesia, Cayman Islands, Faroe Islands, Antigua and Barbuda, Costa Rica, Ukraine, Anguilla}"
1965-02-09,8,"{Bolivia, Venezuela}"
1978-09-29,0,"{Ghana, Cape Verde, Uruguay, Uruguay}"
1934-03-14,1,"{Western Sahara, Belgium, Mongolia, Lebanon, Uzbekistan, Moldova, Benin, Equatorial Guinea, Libyan Arab Jamahiriya}"
1973-12-27,10,"{Pakistan, Malaysia, Estonia, Sudan, Portugal, Austria, Saint Kitts and Nevis, Korea, Iran, Canada}"
1993-12-13,3,{South Africa}
1965-12-07,6,"{Ireland, China, Guadeloupe, Peru, South Georgia and the South Sandwich Islands, Panama, Uzbekistan, Timor-Leste, Niue, Taiwan}"
1924-05-09,4,"{Syrian Arab Republic, Palau, United States of America, Austria, Ireland, Latvia, British Virgin Islands}"
1969-07-09,1,"{Uzbekistan, Heard Island and McDonald Islands, Antarctica (the territory South of 60 deg S), Pitcairn Islands, Netherlands, Finland, United States Virgin Islands}"
1927-11-03,3,"{United Kingdom, Togo, Marshall Islands, Niue, Monaco, Morocco, Guinea}"
1966-10-03,6,"{Eritrea, Burkina Faso, Argentina, Sao Tome and Principe, Gibraltar, China, Nepal, Maldives, Guinea, Indonesia}"
1979-07-24,5,"{Qatar, Saint Lucia, Sao Tome and Principe}"
1979-11-18,3,"{Gambia, India, Cook Islands, Niue, United Kingdom, Bosnia and Herzegovina, Tajikistan}"
1990-09-17,9,{Turkey}
1972-06-30,3,"{Ireland, Tuvalu, Belarus, Aruba, Mauritius}"
1955-01-06,0,"{Heard Island and McDonald Islands, Nepal, Haiti, China, Congo, Gabon, Dominica, Antarctica (the territory South of 60 deg S), Togo, Marshall Islands}"
1978-12-13,3,"{American Samoa, Guernsey, Mauritania, Saint Pierre and Miquelon, Netherlands Antilles, Tanzania, Thailand, Bosnia and Herzegovina}"
1950-01-04,7,"{United States Minor Outlying Islands, Saint Vincent and the Grenadines, Norfolk Island, Guadeloupe, Togo, Namibia}"
1987-10-05,10,"{Guatemala, Samoa, Greece, Zambia, United Kingdom, Senegal, France, Solomon Islands}"
1975-08-07,0,"{Saint Martin, Bolivia, Cape Verde, Iran, Netherlands, Brazil, Cocos (Keeling) Islands, Luxembourg, Saint Barthelemy, Tokelau}"
1924-12-22,10,"{Myanmar, Kenya, Angola}"
1994-01-14,1,"{Thailand, Nigeria, Montserrat, Yemen, Timor-Leste, Grenada, Canada}"
1944-03-26,2,"{Moldova, Myanmar}"
1920-12-02,6,"{Bahamas, El Salvador, Bhutan, Lao People's Democratic Republic, Grenada, Seychelles, Lebanon}"
1958-05-26,10,"{Northern Mariana Islands, Kyrgyz Republic, Cocos (Keeling) Islands, Niue}"
1960-04-25,2,{Fiji}
1930-07-31,8,"{Macedonia, Myanmar, Senegal, United States of America}"
1996-03-25,4,"{Norway, Mauritius, Argentina, Marshall Islands, Honduras, British Virgin Islands}"
1993-06-05,4,"{Georgia, Holy See (Vatican City State), Bahamas, Saint Martin, Bolivia, Slovenia, Equatorial Guinea}"
1941-01-11,9,"{Bermuda, Uzbekistan, Botswana, Marshall Islands, Bermuda, Papua New Guinea, Estonia, Kuwait}"
1978-09-05,2,"{Cocos (Keeling) Islands, Ethiopia, Israel, Australia, Puerto Rico, Argentina, Isle of Man, Faroe Islands, Kiribati, Eritrea}"
1957-02-06,9,"{Bahrain, Ireland, Myanmar, Palau, Burkina Faso, New Caledonia, Mayotte, United States Minor Outlying Islands}"
1959-11-16,4,"{Belize, Comoros, Cocos (Keeling) Islands, Djibouti}"
1938-05-08,3,{Panama}
1996-07-24,1,"{Mali, Ukraine, Taiwan, Bouvet Island (Bouvetoya), British Virgin Islands, Estonia}"
1925-11-20,5,"{Austria, Greenland, Lesotho}"
1993-04-10,5,{Austria}
1997-06-05,7,{Martinique}
1982-02-11,7,"{Senegal, Croatia, Suriname, Poland, Panama, Brazil, Uzbekistan, Iceland, Cote d'Ivoire, Romania}"
1999-10-18,3,"{Bosnia and Herzegovina, Lao People's Democratic Republic, Afghanistan, Latvia, Ghana, Kazakhstan, Afghanistan, Cayman Islands}"
1924-06-16,8,"{Germany, Sudan, Cote d'Ivoire, Swaziland, Lao People's Democratic Republic, Central African Republic, Hungary, Luxembourg, Central African Republic}"
1978-05-16,0,"{Palestinian Territory, Tunisia, Azerbaijan}"
1960-01-24,7,"{Paraguay, Dominica, Haiti, Congo, Afghanistan, Mali}"
1960-07-29,6,"{Czech Republic, Turkmenistan, Burundi, Egypt, Rwanda, El Salvador, Gibraltar, Monaco}"
1948-10-22,4,"{Guernsey, Guyana, Isle of Man, Guadeloupe, Cocos (Keeling) Islands, Latvia, Chile, Timor-Leste}"
1925-10-20,0,"{Taiwan, Brunei Darussalam, Botswana, Croatia, Guernsey, Burkina Faso, Seychelles, Uganda}"
1951-04-16,1,"{El Salvador, Kiribati, Thailand, Micronesia}"
1993-09-01,3,"{Kiribati, Bouvet Island (Bouvetoya), Bhutan, Equatorial Guinea, South Africa, Estonia, Tunisia, Taiwan}"
1961-03-29,9,"{Saint Pierre and Miquelon, Portugal, Kyrgyz Republic, Comoros, Qatar, Uzbekistan, Cook Islands}"
1963-10-25,1,"{Sweden, Isle of Man, Italy}"
1939-07-28,0,"{Tunisia, Colombia, Yemen, Bhutan, Comoros, Armenia, Canada, Peru, Pakistan}"
1989-05-10,3,"{Nicaragua, South Africa, British Indian Ocean Territory (Chagos Archipelago), Denmark, Saint Martin, Switzerland, Austria, Tanzania}"
1932-07-31,0,"{India, Falkland Islands (Malvinas), Cyprus, Georgia}"
1954-04-17,7,"{Egypt, Israel, Monaco}"
1993-07-29,6,"{British Virgin Islands, Saudi Arabia, Mauritius, Macedonia}"
1977-12-24,0,"{Haiti, Chile}"
1983-09-06,3,{Angola}
1936-05-16,5,"{Ethiopia, San Marino, Hong Kong, French Southern Territories, Comoros, Nauru}"
1977-09-03,8,"{Micronesia, Comoros, Jersey, Niue, Burkina Faso, Saint Barthelemy, South Georgia and the South Sandwich Islands, Moldova, Gambia, Barbados}"
1954-05-24,9,"{Korea, Lebanon}"
1926-07-11,3,"{French Southern Territories, Tanzania, Bermuda, Cocos (Keeling) Islands}"
1961-03-14,3,"{Uzbekistan, Somalia, India, Liechtenstein, Germany, Marshall Islands, Antarctica (the territory South of 60 deg S), British Virgin Islands, Panama, Aruba}"
1927-11-05,0,"{South Georgia and the South Sandwich Islands, Saint Barthelemy, Nicaragua, Czech Republic, Tanzania, Haiti, Somalia, Rwanda, Colombia, Gabon}"
1949-01-03,4,"{Senegal, Jamaica, Dominica, United Kingdom, Sri Lanka, Argentina, Sri Lanka, United States Minor Outlying Islands, Kuwait, Bolivia}"
1993-12-11,3,"{Chad, Poland, Bhutan, Netherlands, Maldives, Saint Pierre and Miquelon, Svalbard & Jan Mayen Islands}"
1963-12-06,0,"{Kiribati, Brunei Darussalam, Oman, Korea, Comoros, Svalbard & Jan Mayen Islands, Eritrea}"
1941-12-03,2,"{Tonga, Korea, Mauritania, Lithuania}"
1938-01-26,2,"{Kenya, Bahamas, Eritrea, Korea, Mali, Burundi, Mexico, Guam, United States Virgin Islands, Uruguay}"
1977-08-20,1,"{Maldives, Panama}"
1971-12-19,3,"{Korea, Spain}"
1928-11-14,2,"{Reunion, Guyana, Croatia, Saint Helena}"
1975-09-18,5,"{Cape Verde, South Africa, Mauritius, Brunei Darussalam}"
1967-08-02,4,"{Czech Republic, Morocco, Estonia, South Georgia and the South Sandwich Islands, Rwanda, Djibouti, Turkmenistan}"
1940-03-06,0,"{Jamaica, Japan, Bolivia, Sao Tome and Principe, South Africa, Wallis and Futuna, Guernsey, Peru, Lebanon, Rwanda}"
1954-12-09,6,"{Norfolk Island, Swaziland, Indonesia, Barbados, Ireland, Iraq, Panama, Timor-Leste, China}"
1960-09-25,2,"{Micronesia, Zambia, Tokelau, Puerto Rico, Romania}"
1970-02-09,0,"{Tonga, Saint Vincent and the Grenadines, Kenya, Bahrain, Slovakia (Slovak Republic), Russian Federation, Liechtenstein, Ghana, United States Minor Outlying Islands}"
1983-09-27,4,"{Hong Kong, Poland, Nepal, Fiji, Reunion, Saint Helena, Bouvet Island (Bouvetoya), Greece, Italy}"
1942-11-27,6,"{Qatar, Portugal, Kenya}"
1937-04-10,5,"{Mayotte, Burkina Faso, Singapore, Grenada, Botswana, Bosnia and Herzegovina, British Virgin Islands, Moldova}"
1993-11-22,10,"{Saint Kitts and Nevis, Spain, Japan, Egypt}"
1931-12-10,1,"{Vanuatu, Kenya}"
1982-11-18,8,"{Niue, Montserrat, Saint Helena, Heard Island and McDonald Islands, Western Sahara, Palestinian Territory, United States Minor Outlying Islands}"
1948-04-22,3,"{Wallis and Futuna, Uruguay, Korea, Palestinian Territory, Syrian Arab Republic, Wallis and Futuna, Guernsey}"
1988-05-05,5,"{Mexico, Singapore, Germany, Saint Lucia, Burundi, Gabon, Costa Rica, Chad, Netherlands Antilles}"
1929-05-18,0,"{Papua New Guinea, Bahamas, Malawi, Trinidad and Tobago, Nauru, Mauritius, Singapore, Bosnia and Herzegovina, Mauritania}"
1966-09-25,8,"{Sri Lanka, Papua New Guinea, Vanuatu, Cuba}"
1975-03-13,8,"{Italy, Jordan, Kenya, Jamaica}"
1979-07-08,6,"{Burkina Faso, Namibia, Romania, American Samoa, Lao People's Democratic Republic, Bermuda, Svalbard & Jan Mayen Islands, Antarctica (the territory South of 60 deg S)}"
1945-12-05,4,"{Liechtenstein, Mongolia, Kyrgyz Republic, Moldova, Bulgaria, Liberia, Bosnia and Herzegovina, United States Minor Outlying Islands, Japan}"
1968-07-12,3,"{Madagascar, Tunisia, Cape Verde}"
1950-11-19,5,{Ecuador}
1977-01-02,5,"{Singapore, Philippines, Taiwan, Cape Verde, French Southern Territories, Saint Helena, United States Virgin Islands, Ireland}"
1967-05-27,10,"{Greece, Tuvalu, Uruguay}"
1941-07-02,9,"{Benin, Marshall Islands}"
1940-12-31,10,"{Russian Federation, Lithuania, United Arab Emirates, Western Sahara, Marshall Islands, Australia, Saint Lucia, El Salvador, Mali}"
1979-12-14,8,"{Kuwait, Dominica, Antigua and Barbuda, Australia, Morocco, Gibraltar}"
1977-04-07,7,"{Dominica, Egypt, Gambia, Botswana, Peru, Austria, Falkland Islands (Malvinas), Saint Kitts and Nevis}"
1986-10-03,6,"{Greece, Lebanon, Christmas Island, Uzbekistan, Tuvalu, Guinea, Brazil}"
1981-03-17,4,"{Guatemala, Canada, Slovenia, Nicaragua, Yemen, Belarus, Guadeloupe, Reunion, Micronesia, Azerbaijan}"
1962-10-29,9,"{British Virgin Islands, Ghana}"
1930-08-24,5,"{Kenya, Greenland, Denmark, Christmas Island, Zimbabwe, Romania, Congo, Sudan, Montenegro, Bermuda}"
1939-08-07,10,"{Iceland, Papua New Guinea, Paraguay, France, Peru, Nicaragua, Saint Helena, Palestinian Territory, United States Minor Outlying Islands}"
1993-06-03,2,"{Jordan, United Kingdom, Monaco, Comoros, Poland, Norway, Montenegro, Falkland Islands (Malvinas), Lithuania}"
1950-07-07,10,"{Thailand, Togo, Solomon Islands, Italy}"
1938-06-25,9,"{Libyan Arab Jamahiriya, Switzerland}"
1940-09-26,2,"{Marshall Islands, Ecuador, Malaysia, Sweden}"
1925-01-11,0,"{Angola, Mexico, Moldova, Holy See (Vatican City State)}"
1923-07-11,10,"{Costa Rica, Saint Lucia, Holy See (Vatican City State), Gabon, Bosnia and Herzegovina, Sao Tome and Principe, British Indian Ocean Territory (Chagos Archipelago), South Africa}"
1953-05-08,1,"{Guam, Turkey, Paraguay, United States of America, Lithuania, Paraguay, Belarus, British Virgin Islands}"
1989-08-28,4,"{Morocco, Nicaragua, Czech Republic, Panama, Aruba, Mauritius, Iceland}"
1941-03-28,1,"{Solomon Islands, Portugal, Lithuania, Peru}"
1920-10-20,0,"{Macedonia, Tajikistan, Micronesia, Egypt, Kiribati, Macao}"
1947-03-24,2,"{Saudi Arabia, Montenegro, Iran, Lesotho}"
1947-05-20,6,"{Peru, New Caledonia, Hong Kong, Kyrgyz Republic, Kazakhstan, Saint Kitts and Nevis, Congo, Wallis and Futuna, Saint Barthelemy, Costa Rica}"
1973-07-28,6,"{Kenya, China, Tunisia, Palestinian Territory, Cayman Islands, Seychelles, Ecuador, Martinique, Madagascar, Luxembourg}"
1998-06-11,4,"{Costa Rica, Germany, Puerto Rico, Finland, Grenada, Luxembourg, Latvia, Sierra Leone, Uruguay}"
1981-09-22,10,"{Tajikistan, Cyprus, Armenia, Sao Tome and Principe, Taiwan, Nepal, Vietnam}"
1999-06-21,3,"{Solomon Islands, Philippines, Antarctica (the territory South of 60 deg S), Saudi Arabia, Fiji, Syrian Arab Republic, Falkland Islands (Malvinas), Tunisia}"
1926-12-11,1,"{Turkmenistan, Tokelau, Aruba, Russian Federation, Nepal, Ireland}"
1932-12-23,4,"{Norway, Belize, Congo, Kuwait, Gibraltar}"
1983-04-18,5,"{Uzbekistan, Saint Lucia, Libyan Arab Jamahiriya, Tuvalu, Denmark, Latvia, Tunisia, Jersey}"
1922-03-13,6,"{Iran, Bahrain}"
1959-02-10,9,"{Australia, Libyan Arab Jamahiriya, Macao, Qatar, Austria}"
1969-01-11,7,"{Burundi, Tunisia, Dominica, Bangladesh}"
1998-03-10,10,"{Faroe Islands, Libyan Arab Jamahiriya, Denmark}"
1967-06-04,6,"{Heard Island and McDonald Islands, Austria, Kuwait, Serbia}"
1924-09-30,0,"{Slovakia (Slovak Republic), Cameroon, Sweden, Saint Barthelemy}"
1966-01-17,5,"{Yemen, Netherlands, Maldives, Norway, Saint Martin, Cambodia, Saint Pierre and Miquelon, Equatorial Guinea, Latvia}"
1962-08-23,2,"{British Virgin Islands, Iceland, Namibia, Northern Mariana Islands}"
1946-08-16,9,"{Barbados, Martinique, Brunei Darussalam, Paraguay, Faroe Islands}"
1982-01-07,4,"{Saint Martin, Belarus, Malaysia, Costa Rica, China, Turkmenistan, Croatia}"
1985-10-09,3,"{Japan, Iran, Suriname, Japan, Suriname}"
1939-01-18,6,"{Monaco, Iraq, Uruguay, Christmas Island, Iraq, Mali, Moldova, Mauritania, Botswana}"
1952-01-09,9,"{Kyrgyz Republic, Burundi, Timor-Leste, Iran, Albania, Nicaragua, Iraq, Netherlands Antilles, Bahrain, Afghanistan}"
1937-03-27,2,"{Estonia, Libyan Arab Jamahiriya, Montserrat, Jordan, Kenya, Vietnam, Timor-Leste}"
1982-05-15,6,{Faroe Islands}
